label,Total Population
2021,53798084
2020,53423198
2019,53040212
2018,52666014
2017,52288341
2016,51892349
2015,51483949
2014,51072436
2013,50648334
2012,50218185
2011,49794522
2010,49390988
2009,49015836
2008,48729486
2007,48445647
2006,48088274
2005,47724471
2004,47338446
2003,46924293
2002,46480230
2001,46014826
2000,45538332
1999,45041636
1998,44516185
1997,43972046
1996,43423369
1995,42880186
1994,42337109
1993,41788302
1992,41237813
1991,40680533
1990,40099553
1989,39489419
1988,38868270
1987,38233171
1986,37572340
1985,36881020
1984,36159838
1983,35424262
1982,34742586
1981,34110098
1980,33465781
1979,32821779
1978,32185601
1977,31554598
1976,30941375
1975,30344276
1974,29751936
1973,29165356
1972,28551949
1971,27914953
1970,27284112
1969,26659479
1968,26044111
1967,25440029
1966,24854704
1965,24286878
1964,23737818
1963,23210687
1962,22699703
1961,22203109
1960,21720697
